Modelo,10D.P,25D.P,ATM,25D.C,10D.C
1,0.143223724,0.455588677,1.140456984,0.509043004,0.203672654
2,0.144402338,0.456242636,1.13673792,0.501676445,0.197333934
3,0.132463502,0.453328205,1.149102443,0.510523726,0.198180707
